ids,clsids,w2clsids,schids,ctyids,mig_status,w2chnstd,w2matstd,w2engstd,per_st_funding,mig_funding,centgov_fund_pct,prefgov_fund_pct,countgov_fund_pct,stucharge_pct,same_charge_std,mig_subsidy,mig_locsch_access,mig_locsch_require,fam_fin,fam_edu,fam_ocp
1,1,1,1,1,2,82,91,82,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,NA,3,3,12
2,1,1,1,1,1,95,63,83,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,5,5
3,1,1,1,1,1,89,68,74,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,4,NA,3,6,12
4,1,1,1,1,2,85,80,63,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,NA,3,8,4
5,1,1,1,1,1,91,73,84,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,NA,NA,NA
6,1,1,1,1,1,83,88,72,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,8,3
7,1,1,1,1,1,86,90,82,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,4,8
8,1,1,1,1,2,96,95,96,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,1,0,3,8,NA
9,1,1,1,1,1,83,73,74,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,8,1
10,1,1,1,1,1,89,75,79,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,7,8
11,1,1,1,1,1,68,24,37,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,1,1,3,6,2
13,1,1,1,1,1,93,78,68,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,4,8,14
14,1,1,1,1,1,81,87,79,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,4,2
16,1,1,1,1,2,78,58,55,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,NA,1,2,11
17,1,1,1,1,1,85,86,58,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,8,6
18,1,1,1,1,1,88,86,86,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,1,1,4,7,2
19,1,1,1,1,1,85,70,69,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,1,1,3,7,8
21,1,1,1,1,1,90,75,76,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,4,NA
23,1,1,1,1,1,87,70,71,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,2,1,3,7,7
25,1,1,1,1,2,94,85,86,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,NA,3,3,12
27,1,1,1,1,1,71,43,60,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,6,6
28,1,1,1,1,1,74,71,83,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,3,9
29,1,1,1,1,2,80,72,67,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,0,3,4,12
30,1,1,1,1,1,88,63,40,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,NA,NA,NA
31,1,1,1,1,1,86,76,48,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,7,2
32,1,2,1,1,2,76,84,68,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,NA,3,8,4
33,2,2,1,1,1,77,77,71,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,3,8
34,2,2,1,1,2,79,62,62,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,NA,NA,8,12
35,2,2,1,1,2,74,69,62,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,NA,3,3,12
37,2,2,1,1,1,88,82,83,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,3,14
38,2,2,1,1,1,76,52,64,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,8,14
39,2,2,1,1,2,77,82,81,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,NA,3,4,2
40,2,2,1,1,2,79,70,66,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,NA,NA,3,NA,NA
41,2,2,1,1,1,87,86,74,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,4,8
43,2,2,1,1,1,66,58,63,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,1,0,3,7,8
44,2,2,1,1,2,88,88,85,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,0,3,3,13
45,2,2,1,1,1,80,86,84,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,9,3
46,2,2,1,1,2,77,81,51,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,NA,NA,NA,NA
47,2,2,1,1,2,74,78,61,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,4,NA,3,4,6
48,2,2,1,1,1,77,80,69,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,7,8
49,2,2,1,1,1,73,84,68,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,6,8
50,2,2,1,1,1,74,67,55,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,4,13
51,2,2,1,1,2,86,64,70,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,NA,3,7,12
52,2,2,1,1,1,89,84,72,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,NA,NA,NA
53,2,2,1,1,2,91,93,88,4358,1,0,30.830188679245282,73.98309382924768,0,1,0,3,NA,3,6,12
54,2,2,1,1,1,79,78,64,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,2,7,6
55,2,2,1,1,1,84,85,83,4358,1,0,15.589591836734694,57.708306503541536,0,1,0,NA,NA,3,3,1
